taxa,thoracic 0/1,page
BAU,1,183
BAUS,1,168
BE,1,159
BO,0,163
BOUS,1,178
BUKS,1,178
BULP,1,171
CAMP,0,173
CERC,0,183
G,1,157
GB,0,
GL,0,
GW,0,
HAIT,0,
KAN,1,202
KHO,1,
KIMU,1,175
LA,1,188
LAOS,0,
MA,1,
MAKT,0,190
MISM,1,
PHEST,1,
PHG,1,
PHM,1,
PHO,1,172
PLE,1,
SELR,0,205
SIA,0,202
SIAHK,0,
SIAYN,0,
SOB,0,
SOF,0,164
SOS,0,
SOT,0,
SOW,0,
SU,1,159
TONGD,0,
TONKT,0,
TONQG,0,
TONQN,0,
TONV,0,
TROM,1,
U,1,
WJAG,1,157
XAA,0,180
XAB,0,180
XAD,0,181
XB,0,198
XF,1,196
XFA,1,186
XFP,0,196
XFS,0,196
XFT,0,197
XGH,1,157
XGI,0,162
XIN,0,158
XME,0,200
XMN,0,193
XMNT,0,
XMNYN,0,
XP,1,167
XPHA,1,
XPM,1,167
XPUL,1,
XST,0,190
XWIK,1,
XWIS,1,
YORU,1,